Number.of.Homicide.Convictions,Number.of.Homicide.Unsuccessful,Number.of.Offences.Against.The.Person.Convictions,Number.of.Offences.Against.The.Person.Unsuccessful,Number.of.Sexual.Offences.Convictions,Number.of.Sexual.Offences.Unsuccessful,Number.of.Burglary.Convictions,Number.of.Burglary.Unsuccessful,Number.of.Robbery.Convictions,Number.of.Robbery.Unsuccessful,Number.of.Theft.And.Handling.Convictions,Number.of.Theft.And.Handling.Unsuccessful,Number.of.Fraud.And.Forgery.Convictions,Number.of.Fraud.And.Forgery.Unsuccessful,Number.of.Criminal.Damage.Convictions,Number.of.Criminal.Damage.Unsuccessful,Number.of.Drugs.Offences.Convictions,Number.of.Drugs.Offences.Unsuccessful,Number.of.Public.Order.Offences.Convictions,Number.of.Public.Order.Offences.Unsuccessful,Number.of.All.Other.Offences..excluding.Motoring..Convictions,Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful,Number.of.Motoring.Offences.Convictions,Number.of.Motoring.Offences.Unsuccessful,Number.of.Admin.Finalised.Unsuccessful
2 ,0 ,113 ,22 ,4 ,0 ,21 ,4 ,3 ,1 ,103 ,10 ,9 ,2 ,32 ,7 ,10 ,1 ,23 ,5,7,2,90,3,6
0 ,0 ,83 ,13 ,8 ,3 ,6 ,0 ,0 ,0 ,64 ,1 ,1 ,0 ,34 ,2 ,76 ,3 ,27 ,4,1,0,86,11,3
3 ,0 ,274 ,73 ,30 ,11 ,34 ,0 ,5 ,4 ,156 ,11 ,20 ,4 ,38 ,6 ,82 ,7 ,55 ,12,15,2,259,55,35
1 ,0 ,96 ,14 ,3 ,0 ,5 ,2 ,2 ,0 ,57 ,6 ,6 ,1 ,12 ,0 ,22 ,1 ,19 ,4,1,0,63,5,5
6 ,2 ,476 ,70 ,56 ,24 ,43 ,9 ,24 ,1 ,127 ,7 ,32 ,3 ,85 ,7 ,84 ,6 ,165 ,19,30,2,294,53,23
0 ,0 ,67 ,22 ,12 ,4 ,7 ,6 ,5 ,0 ,65 ,5 ,4 ,0 ,25 ,4 ,44 ,3 ,33 ,5,5,0,105,12,7
3 ,1 ,359 ,70 ,29 ,6 ,33 ,3 ,13 ,1 ,230 ,12 ,26 ,7 ,53 ,10 ,85 ,5 ,72 ,7,16,5,255,27,21
0 ,0 ,167 ,41 ,8 ,1 ,22 ,4 ,10 ,3 ,129 ,11 ,19 ,3 ,26 ,5 ,91 ,2 ,48 ,8,11,0,123,22,17
2 ,0 ,156 ,34 ,7 ,0 ,24 ,4 ,5 ,1 ,119 ,11 ,15 ,0 ,43 ,3 ,39 ,1 ,46 ,7,11,1,111,10,10
5 ,3 ,295 ,75 ,21 ,5 ,26 ,7 ,6 ,2 ,157 ,16 ,30 ,6 ,50 ,12 ,80 ,5 ,68 ,12,21,2,211,24,22
4 ,2 ,318 ,71 ,13 ,1 ,48 ,8 ,17 ,5 ,242 ,23 ,25 ,4 ,61 ,5 ,62 ,6 ,125 ,18,24,1,272,39,11
1 ,0 ,175 ,45 ,26 ,12 ,15 ,1 ,12 ,0 ,112 ,11 ,14 ,1 ,43 ,6 ,21 ,1 ,57 ,4,16,2,125,28,15
1 ,0 ,143 ,23 ,5 ,1 ,21 ,4 ,2 ,2 ,130 ,5 ,12 ,0 ,21 ,2 ,48 ,2 ,54 ,9,18,5,168,37,19
5 ,0 ,303 ,65 ,18 ,11 ,22 ,2 ,4 ,2 ,196 ,8 ,31 ,3 ,66 ,5 ,207 ,12 ,80 ,8,16,3,269,31,17
14 ,11 ,1373 ,596 ,127 ,70 ,170 ,34 ,75 ,18 ,756 ,158 ,187 ,44 ,214 ,59 ,936 ,86 ,426 ,152,208,25,991,304,209
1 ,0 ,184 ,33 ,13 ,3 ,10 ,1 ,4 ,0 ,99 ,5 ,11 ,0 ,47 ,4 ,65 ,4 ,85 ,7,15,3,136,15,2
0 ,0 ,139 ,31 ,5 ,0 ,17 ,2 ,3 ,0 ,63 ,2 ,9 ,1 ,18 ,2 ,33 ,1 ,40 ,4,8,0,105,10,29
2 ,2 ,289 ,78 ,35 ,10 ,40 ,10 ,2 ,0 ,241 ,22 ,16 ,1 ,70 ,27 ,76 ,2 ,137 ,29,18,2,205,18,16
1 ,1 ,192 ,36 ,20 ,3 ,21 ,3 ,2 ,2 ,116 ,5 ,8 ,0 ,46 ,5 ,43 ,0 ,68 ,5,8,1,141,19,4
0 ,0 ,90 ,16 ,3 ,1 ,8 ,2 ,9 ,0 ,83 ,6 ,4 ,0 ,21 ,2 ,27 ,6 ,27 ,3,2,0,89,3,10
3 ,1 ,224 ,64 ,38 ,7 ,24 ,2 ,9 ,1 ,180 ,12 ,16 ,2 ,46 ,10 ,122 ,11 ,76 ,11,27,2,142,17,25
0 ,0 ,393 ,119 ,32 ,20 ,21 ,6 ,5 ,2 ,218 ,9 ,50 ,3 ,60 ,14 ,170 ,8 ,116 ,20,31,2,252,29,15
1 ,1 ,202 ,56 ,11 ,1 ,43 ,5 ,9 ,6 ,144 ,4 ,21 ,3 ,61 ,3 ,71 ,6 ,95 ,10,20,3,149,22,20
0 ,0 ,201 ,56 ,21 ,10 ,24 ,6 ,3 ,3 ,117 ,10 ,10 ,2 ,40 ,7 ,60 ,4 ,65 ,4,19,1,158,27,30
1 ,0 ,119 ,17 ,5 ,0 ,7 ,0 ,3 ,0 ,71 ,2 ,6 ,1 ,23 ,2 ,47 ,2 ,37 ,5,11,3,107,10,9
0 ,1 ,136 ,34 ,15 ,6 ,11 ,0 ,0 ,0 ,68 ,6 ,9 ,0 ,16 ,1 ,56 ,4 ,19 ,1,15,0,137,10,8
0 ,1 ,232 ,80 ,27 ,11 ,17 ,0 ,6 ,2 ,95 ,3 ,15 ,0 ,28 ,3 ,56 ,2 ,51 ,5,15,0,171,24,16
2 ,1 ,295 ,84 ,53 ,23 ,34 ,4 ,10 ,2 ,179 ,15 ,38 ,6 ,57 ,13 ,114 ,5 ,117 ,12,22,2,331,31,31
0 ,0 ,69 ,16 ,7 ,5 ,7 ,2 ,0 ,3 ,69 ,6 ,8 ,1 ,8 ,2 ,14 ,0 ,15 ,4,2,1,72,19,13
2 ,0 ,195 ,47 ,15 ,9 ,14 ,5 ,6 ,3 ,135 ,14 ,17 ,4 ,48 ,6 ,65 ,2 ,68 ,2,16,1,209,25,32
12 ,1 ,672 ,177 ,75 ,18 ,75 ,11 ,62 ,17 ,432 ,46 ,59 ,12 ,107 ,11 ,251 ,19 ,269 ,37,58,11,310,51,128
7 ,2 ,431 ,93 ,91 ,28 ,61 ,7 ,12 ,3 ,244 ,10 ,32 ,1 ,65 ,5 ,101 ,7 ,100 ,6,29,5,283,32,49
0 ,0 ,107 ,18 ,5 ,1 ,3 ,0 ,1 ,0 ,60 ,2 ,16 ,0 ,22 ,3 ,21 ,0 ,16 ,4,11,0,108,3,2
125 ,25 ,10140 ,2622 ,1026 ,349 ,1183 ,178 ,378 ,92 ,6102 ,515 ,860 ,124 ,1862 ,238 ,3573 ,254 ,3076 ,520,740,108,"6,743","1,257",825
4 ,2 ,275 ,73 ,70 ,22 ,34 ,7 ,4 ,1 ,153 ,10 ,26 ,2 ,55 ,4 ,72 ,6 ,84 ,11,11,2,166,31,19
0 ,0 ,94 ,22 ,5 ,1 ,14 ,3 ,13 ,2 ,59 ,1 ,9 ,1 ,19 ,0 ,33 ,3 ,19 ,6,5,0,82,29,21
3 ,0 ,108 ,20 ,10 ,0 ,11 ,1 ,2 ,2 ,60 ,7 ,8 ,0 ,23 ,1 ,22 ,3 ,23 ,11,6,0,81,4,19
2 ,0 ,250 ,66 ,25 ,5 ,22 ,2 ,6 ,0 ,111 ,7 ,17 ,3 ,39 ,3 ,83 ,3 ,109 ,9,10,0,199,35,14
0 ,0 ,138 ,43 ,7 ,1 ,33 ,2 ,2 ,1 ,200 ,16 ,8 ,0 ,38 ,4 ,49 ,5 ,62 ,10,12,3,76,11,6
2 ,0 ,95 ,13 ,2 ,2 ,6 ,1 ,2 ,0 ,71 ,3 ,3 ,0 ,18 ,0 ,29 ,3 ,37 ,2,7,1,74,8,2
1 ,0 ,160 ,34 ,8 ,2 ,21 ,0 ,1 ,0 ,124 ,11 ,11 ,1 ,43 ,4 ,44 ,4 ,50 ,11,4,2,106,17,10
4 ,0 ,208 ,35 ,10 ,4 ,15 ,0 ,7 ,1 ,102 ,3 ,16 ,3 ,42 ,2 ,66 ,1 ,72 ,5,8,0,165,23,19
0 ,0 ,137 ,28 ,8 ,3 ,12 ,1 ,3 ,0 ,46 ,7 ,6 ,2 ,28 ,3 ,32 ,0 ,42 ,5,5,0,79,12,24
0 ,0 ,115 ,25 ,5 ,0 ,16 ,4 ,1 ,0 ,100 ,9 ,10 ,0 ,25 ,6 ,16 ,2 ,43 ,5,1,1,89,9,11
1 ,1 ,70 ,12 ,3 ,5 ,6 ,1 ,0 ,0 ,40 ,1 ,2 ,1 ,13 ,3 ,23 ,3 ,14 ,7,5,1,61,8,15
1 ,2 ,223 ,61 ,38 ,17 ,31 ,8 ,10 ,1 ,125 ,8 ,18 ,2 ,43 ,9 ,58 ,4 ,46 ,11,14,2,190,30,19
4 ,1 ,89 ,17 ,2 ,0 ,22 ,5 ,2 ,0 ,58 ,3 ,7 ,0 ,9 ,1 ,25 ,0 ,10 ,3,3,0,60,5,4
5 ,1 ,505 ,119 ,80 ,33 ,54 ,14 ,27 ,8 ,172 ,13 ,22 ,4 ,86 ,10 ,96 ,13 ,164 ,17,35,5,278,54,30
3 ,0 ,94 ,22 ,8 ,2 ,15 ,0 ,3 ,0 ,84 ,3 ,3 ,1 ,21 ,3 ,45 ,3 ,38 ,1,9,0,60,9,8
1 ,1 ,310 ,63 ,23 ,6 ,27 ,3 ,10 ,1 ,210 ,10 ,21 ,2 ,51 ,6 ,70 ,4 ,67 ,7,8,7,174,28,22
2 ,1 ,186 ,52 ,11 ,1 ,22 ,4 ,4 ,3 ,166 ,11 ,32 ,5 ,28 ,6 ,64 ,7 ,55 ,12,15,0,130,31,16
0 ,0 ,148 ,36 ,15 ,5 ,24 ,7 ,9 ,3 ,119 ,6 ,10 ,2 ,40 ,5 ,61 ,3 ,49 ,12,8,2,90,14,11
4 ,0 ,328 ,73 ,29 ,10 ,35 ,5 ,4 ,1 ,127 ,17 ,30 ,8 ,56 ,12 ,72 ,5 ,56 ,7,26,5,149,12,23
3 ,0 ,269 ,61 ,26 ,5 ,50 ,5 ,13 ,0 ,216 ,14 ,23 ,2 ,67 ,11 ,96 ,5 ,128 ,11,17,4,276,56,11
0 ,0 ,180 ,19 ,28 ,10 ,27 ,0 ,6 ,0 ,64 ,9 ,14 ,4 ,41 ,0 ,31 ,2 ,44 ,4,9,2,96,24,5
2 ,0 ,131 ,29 ,6 ,0 ,14 ,0 ,3 ,1 ,109 ,10 ,8 ,1 ,32 ,4 ,32 ,2 ,45 ,5,16,0,104,34,10
2 ,0 ,306 ,69 ,39 ,11 ,20 ,2 ,6 ,0 ,155 ,12 ,14 ,3 ,58 ,5 ,147 ,6 ,61 ,10,15,1,236,48,15
15 ,8 ,1612 ,567 ,139 ,54 ,180 ,31 ,82 ,15 ,711 ,110 ,203 ,39 ,241 ,54 ,922 ,81 ,447 ,116,178,30,925,291,193
1 ,0 ,163 ,37 ,14 ,0 ,10 ,1 ,7 ,0 ,99 ,9 ,9 ,0 ,32 ,1 ,60 ,2 ,92 ,5,11,1,113,10,6
4 ,0 ,86 ,39 ,3 ,1 ,9 ,0 ,7 ,2 ,54 ,4 ,15 ,3 ,8 ,1 ,22 ,0 ,26 ,2,11,1,78,10,8
2 ,0 ,246 ,83 ,50 ,12 ,55 ,16 ,12 ,4 ,267 ,26 ,23 ,5 ,61 ,8 ,69 ,5 ,107 ,31,20,1,216,42,36
6 ,1 ,151 ,21 ,9 ,2 ,17 ,1 ,4 ,0 ,93 ,6 ,10 ,2 ,29 ,4 ,59 ,2 ,71 ,4,6,2,116,11,4
3 ,1 ,113 ,23 ,8 ,0 ,19 ,1 ,1 ,2 ,99 ,6 ,6 ,2 ,27 ,2 ,26 ,1 ,55 ,4,7,2,85,13,8
1 ,0 ,237 ,70 ,33 ,17 ,17 ,2 ,15 ,3 ,196 ,14 ,21 ,4 ,50 ,7 ,100 ,10 ,87 ,18,20,1,149,18,9
4 ,1 ,325 ,104 ,36 ,10 ,42 ,10 ,10 ,6 ,255 ,18 ,12 ,3 ,65 ,5 ,174 ,9 ,128 ,13,29,4,203,39,15
3 ,1 ,226 ,65 ,7 ,2 ,42 ,1 ,13 ,6 ,200 ,6 ,22 ,0 ,63 ,8 ,61 ,2 ,83 ,12,8,0,152,13,19
3 ,0 ,185 ,43 ,16 ,8 ,25 ,3 ,7 ,2 ,122 ,9 ,15 ,2 ,31 ,4 ,72 ,3 ,51 ,8,13,0,119,21,15
1 ,0 ,99 ,23 ,8 ,0 ,12 ,0 ,0 ,0 ,40 ,4 ,11 ,1 ,23 ,1 ,47 ,5 ,28 ,6,2,1,75,8,1
0 ,0 ,118 ,34 ,20 ,5 ,19 ,0 ,2 ,0 ,51 ,3 ,17 ,0 ,18 ,1 ,43 ,2 ,28 ,1,10,0,109,12,11
0 ,0 ,239 ,56 ,26 ,9 ,13 ,5 ,7 ,0 ,73 ,4 ,13 ,0 ,33 ,2 ,67 ,1 ,46 ,11,11,3,181,25,7
2 ,0 ,353 ,116 ,31 ,8 ,42 ,9 ,10 ,12 ,246 ,22 ,45 ,3 ,57 ,6 ,121 ,11 ,77 ,25,25,8,306,38,33
0 ,0 ,90 ,14 ,10 ,5 ,18 ,0 ,3 ,0 ,51 ,6 ,13 ,0 ,10 ,1 ,18 ,1 ,26 ,8,5,0,58,28,9
3 ,0 ,207 ,50 ,25 ,14 ,12 ,0 ,3 ,1 ,126 ,13 ,16 ,0 ,33 ,3 ,65 ,2 ,66 ,10,10,0,195,38,8
17 ,3 ,688 ,145 ,69 ,27 ,63 ,12 ,39 ,11 ,459 ,42 ,59 ,9 ,95 ,13 ,213 ,18 ,219 ,41,71,12,298,50,74
16 ,1 ,490 ,127 ,56 ,27 ,49 ,10 ,12 ,2 ,227 ,17 ,26 ,4 ,94 ,15 ,139 ,12 ,97 ,21,42,4,284,53,33
0 ,0 ,93 ,13 ,8 ,3 ,8 ,1 ,6 ,1 ,62 ,5 ,6 ,0 ,17 ,0 ,29 ,0 ,24 ,2,12,0,60,5,2
95 ,19 ,9003 ,2379 ,880 ,287 ,1000 ,158 ,372 ,87 ,5801 ,480 ,802 ,121 ,1589 ,267 ,3327 ,260 ,2713 ,433,691,83,"7,184","1,226",963
4 ,0 ,253 ,59 ,41 ,10 ,24 ,3 ,14 ,3 ,112 ,13 ,10 ,1 ,57 ,8 ,64 ,7 ,87 ,16,6,3,206,25,22
0 ,0 ,67 ,22 ,12 ,1 ,7 ,0 ,7 ,1 ,77 ,11 ,8 ,0 ,17 ,3 ,49 ,2 ,17 ,1,10,1,129,21,13
3 ,0 ,136 ,34 ,10 ,2 ,12 ,1 ,3 ,1 ,89 ,9 ,13 ,2 ,22 ,4 ,35 ,2 ,22 ,6,5,0,116,9,12
2 ,0 ,258 ,33 ,28 ,3 ,26 ,0 ,4 ,1 ,146 ,6 ,20 ,1 ,40 ,6 ,91 ,5 ,98 ,11,15,0,233,27,27
0 ,0 ,101 ,38 ,6 ,0 ,26 ,3 ,10 ,0 ,240 ,8 ,10 ,0 ,32 ,4 ,54 ,3 ,38 ,7,3,0,74,11,5
0 ,0 ,89 ,15 ,6 ,0 ,7 ,1 ,1 ,0 ,79 ,2 ,9 ,1 ,19 ,3 ,21 ,0 ,48 ,2,4,1,67,8,5
3 ,0 ,150 ,42 ,11 ,3 ,15 ,0 ,6 ,5 ,132 ,10 ,18 ,2 ,28 ,6 ,35 ,5 ,58 ,6,9,0,93,15,22
1 ,0 ,194 ,31 ,10 ,3 ,24 ,2 ,1 ,0 ,75 ,3 ,15 ,0 ,32 ,2 ,81 ,3 ,53 ,3,11,1,168,17,4
3 ,0 ,108 ,24 ,11 ,4 ,12 ,0 ,3 ,1 ,56 ,5 ,7 ,0 ,23 ,2 ,35 ,0 ,26 ,5,6,1,108,14,20
0 ,0 ,113 ,19 ,2 ,2 ,18 ,2 ,4 ,0 ,105 ,5 ,7 ,2 ,32 ,5 ,9 ,1 ,27 ,2,2,1,89,1,9
0 ,0 ,68 ,10 ,6 ,2 ,4 ,0 ,0 ,0 ,24 ,2 ,5 ,0 ,18 ,2 ,25 ,4 ,22 ,1,0,1,69,11,3
4 ,0 ,227 ,63 ,35 ,7 ,30 ,4 ,14 ,0 ,136 ,9 ,20 ,2 ,24 ,7 ,73 ,7 ,36 ,13,8,1,213,77,16
2 ,0 ,74 ,21 ,2 ,1 ,4 ,1 ,0 ,0 ,43 ,8 ,7 ,0 ,11 ,1 ,24 ,4 ,6 ,2,3,0,70,10,5
3 ,1 ,452 ,84 ,92 ,28 ,44 ,2 ,29 ,3 ,140 ,9 ,26 ,4 ,69 ,4 ,96 ,7 ,114 ,10,36,2,331,53,22
0 ,0 ,71 ,18 ,8 ,3 ,7 ,0 ,1 ,1 ,54 ,4 ,11 ,1 ,18 ,6 ,29 ,4 ,27 ,6,7,1,74,8,2
2 ,0 ,274 ,60 ,26 ,4 ,19 ,1 ,1 ,0 ,192 ,10 ,17 ,2 ,34 ,7 ,63 ,1 ,76 ,10,15,1,186,24,21
0 ,0 ,151 ,30 ,3 ,1 ,25 ,4 ,4 ,0 ,129 ,10 ,31 ,4 ,23 ,6 ,59 ,1 ,34 ,10,11,0,130,37,17
2 ,0 ,167 ,21 ,7 ,3 ,30 ,5 ,4 ,2 ,130 ,8 ,13 ,1 ,36 ,3 ,47 ,3 ,33 ,4,11,1,97,14,14
7 ,4 ,272 ,76 ,22 ,11 ,31 ,9 ,10 ,1 ,130 ,15 ,25 ,3 ,33 ,7 ,97 ,10 ,51 ,7,39,9,206,26,21
4 ,1 ,255 ,62 ,9 ,0 ,50 ,3 ,27 ,5 ,203 ,26 ,19 ,1 ,47 ,8 ,64 ,5 ,116 ,8,15,0,233,28,17
3 ,1 ,178 ,44 ,17 ,7 ,26 ,3 ,4 ,3 ,124 ,8 ,19 ,2 ,22 ,6 ,38 ,7 ,26 ,6,10,2,132,35,24
0 ,0 ,129 ,14 ,5 ,1 ,15 ,0 ,1 ,0 ,77 ,7 ,12 ,4 ,25 ,8 ,34 ,0 ,33 ,4,5,0,139,33,38
1 ,1 ,269 ,60 ,26 ,4 ,19 ,2 ,8 ,0 ,153 ,3 ,17 ,10 ,58 ,3 ,177 ,10 ,55 ,17,10,1,244,45,25
18 ,4 ,1279 ,511 ,108 ,55 ,140 ,39 ,84 ,33 ,640 ,97 ,173 ,27 ,176 ,50 ,826 ,84 ,390 ,105,202,20,979,291,236
2 ,0 ,154 ,34 ,10 ,1 ,7 ,1 ,7 ,0 ,91 ,10 ,12 ,1 ,42 ,6 ,43 ,0 ,66 ,10,4,2,146,15,7
2 ,0 ,108 ,40 ,4 ,0 ,9 ,7 ,3 ,1 ,53 ,9 ,9 ,3 ,21 ,4 ,24 ,7 ,25 ,8,10,0,74,10,43
0 ,0 ,236 ,96 ,32 ,9 ,33 ,12 ,4 ,0 ,293 ,25 ,24 ,5 ,60 ,15 ,61 ,9 ,121 ,23,10,2,187,30,6
1 ,1 ,167 ,32 ,15 ,5 ,14 ,3 ,4 ,2 ,75 ,2 ,6 ,2 ,27 ,6 ,35 ,1 ,43 ,2,8,2,113,14,1
1 ,0 ,112 ,23 ,4 ,0 ,11 ,2 ,1 ,0 ,91 ,10 ,12 ,0 ,23 ,3 ,37 ,1 ,55 ,4,8,2,98,9,5
0 ,1 ,232 ,47 ,30 ,17 ,26 ,3 ,11 ,0 ,195 ,19 ,20 ,4 ,41 ,4 ,115 ,15 ,74 ,16,16,0,124,16,44
4 ,0 ,277 ,80 ,16 ,11 ,32 ,4 ,4 ,1 ,184 ,12 ,30 ,7 ,63 ,7 ,117 ,7 ,111 ,11,22,5,205,48,10
2 ,1 ,183 ,58 ,14 ,2 ,33 ,7 ,9 ,6 ,114 ,5 ,13 ,0 ,34 ,9 ,56 ,1 ,63 ,8,11,2,100,16,21
2 ,0 ,146 ,45 ,13 ,9 ,11 ,3 ,5 ,1 ,129 ,3 ,13 ,2 ,35 ,5 ,53 ,3 ,53 ,5,26,1,140,12,18
1 ,0 ,97 ,28 ,6 ,0 ,6 ,2 ,2 ,0 ,44 ,1 ,5 ,1 ,10 ,1 ,42 ,1 ,31 ,2,3,2,83,15,10
0 ,0 ,117 ,37 ,17 ,2 ,10 ,0 ,0 ,0 ,51 ,11 ,10 ,2 ,14 ,1 ,33 ,3 ,25 ,5,10,3,124,17,12
0 ,0 ,212 ,43 ,29 ,11 ,16 ,1 ,1 ,0 ,104 ,9 ,18 ,0 ,20 ,4 ,69 ,3 ,34 ,7,11,3,181,27,13
6 ,0 ,284 ,72 ,35 ,9 ,29 ,8 ,7 ,3 ,175 ,15 ,22 ,6 ,55 ,5 ,116 ,6 ,70 ,8,13,0,302,27,30
2 ,0 ,68 ,17 ,9 ,6 ,7 ,0 ,8 ,1 ,29 ,7 ,3 ,1 ,5 ,2 ,20 ,3 ,9 ,3,4,1,61,11,11
1 ,3 ,179 ,38 ,21 ,8 ,15 ,0 ,9 ,1 ,117 ,4 ,11 ,3 ,31 ,8 ,43 ,7 ,45 ,6,8,3,184,21,16
6 ,1 ,574 ,142 ,40 ,28 ,56 ,7 ,29 ,9 ,455 ,31 ,50 ,9 ,99 ,16 ,223 ,12 ,272 ,38,54,5,319,40,83
3 ,0 ,439 ,147 ,74 ,14 ,59 ,13 ,27 ,2 ,233 ,15 ,18 ,5 ,96 ,10 ,88 ,6 ,109 ,9,28,3,288,55,29
0 ,0 ,83 ,9 ,8 ,0 ,11 ,0 ,1 ,0 ,82 ,4 ,14 ,0 ,17 ,0 ,26 ,0 ,14 ,6,2,0,69,3,4
112 ,32 ,10282 ,2799 ,967 ,333 ,1192 ,159 ,359 ,75 ,6467 ,514 ,901 ,138 ,1765 ,306 ,3645 ,251 ,3208 ,516,749,111,"7,252","1,251",873
4 ,1 ,291 ,75 ,36 ,11 ,30 ,2 ,9 ,2 ,140 ,8 ,25 ,7 ,58 ,15 ,94 ,6 ,84 ,13,26,2,201,15,34
1 ,0 ,90 ,29 ,6 ,0 ,11 ,1 ,2 ,0 ,53 ,10 ,10 ,2 ,16 ,5 ,25 ,3 ,23 ,9,7,1,87,32,17
0 ,0 ,124 ,26 ,11 ,1 ,24 ,0 ,14 ,2 ,79 ,6 ,7 ,0 ,16 ,4 ,25 ,0 ,24 ,4,2,0,88,5,5
0 ,0 ,292 ,67 ,18 ,7 ,11 ,2 ,6 ,2 ,186 ,11 ,19 ,4 ,37 ,3 ,99 ,3 ,105 ,9,23,3,266,42,8
0 ,0 ,134 ,30 ,8 ,0 ,35 ,4 ,6 ,0 ,228 ,7 ,12 ,2 ,30 ,9 ,55 ,3 ,56 ,8,16,1,90,10,7
1 ,0 ,107 ,16 ,3 ,1 ,6 ,3 ,0 ,0 ,75 ,2 ,6 ,1 ,19 ,3 ,26 ,1 ,37 ,1,2,1,77,7,2
1 ,0 ,184 ,45 ,7 ,0 ,14 ,3 ,8 ,1 ,124 ,14 ,18 ,1 ,46 ,7 ,55 ,1 ,48 ,4,22,0,120,23,15
4 ,1 ,217 ,31 ,9 ,2 ,28 ,2 ,5 ,1 ,98 ,5 ,11 ,1 ,37 ,4 ,56 ,0 ,66 ,5,5,1,189,22,12
0 ,1 ,139 ,19 ,11 ,6 ,13 ,1 ,2 ,1 ,84 ,5 ,14 ,1 ,23 ,2 ,36 ,1 ,50 ,5,11,2,132,16,13
1 ,0 ,114 ,21 ,3 ,1 ,19 ,6 ,3 ,0 ,94 ,5 ,8 ,0 ,10 ,6 ,14 ,0 ,35 ,6,6,1,97,6,5
0 ,0 ,86 ,19 ,8 ,3 ,5 ,1 ,0 ,0 ,42 ,2 ,1 ,0 ,17 ,3 ,27 ,1 ,20 ,5,3,1,63,10,9
2 ,2 ,216 ,77 ,26 ,20 ,35 ,4 ,8 ,0 ,115 ,7 ,15 ,6 ,48 ,6 ,71 ,2 ,56 ,5,10,3,207,58,22
1 ,0 ,71 ,19 ,5 ,0 ,11 ,1 ,2 ,1 ,57 ,4 ,8 ,1 ,18 ,4 ,34 ,2 ,14 ,1,3,1,55,3,8
7 ,1 ,476 ,131 ,75 ,27 ,61 ,2 ,12 ,1 ,171 ,13 ,22 ,3 ,75 ,8 ,97 ,7 ,144 ,12,22,5,275,63,31
1 ,0 ,103 ,27 ,6 ,3 ,18 ,3 ,1 ,0 ,74 ,10 ,5 ,1 ,14 ,8 ,48 ,2 ,18 ,5,10,1,73,14,1
4 ,0 ,302 ,62 ,41 ,3 ,25 ,2 ,5 ,0 ,228 ,13 ,18 ,2 ,42 ,2 ,74 ,6 ,66 ,11,12,3,200,20,17
0 ,1 ,142 ,47 ,9 ,1 ,13 ,5 ,8 ,5 ,152 ,5 ,24 ,2 ,18 ,3 ,62 ,6 ,41 ,8,8,2,135,26,18
1 ,0 ,188 ,36 ,8 ,4 ,29 ,0 ,6 ,1 ,146 ,7 ,10 ,2 ,48 ,9 ,37 ,2 ,68 ,5,7,1,90,16,14
10 ,7 ,359 ,68 ,35 ,6 ,20 ,2 ,9 ,0 ,142 ,12 ,40 ,5 ,53 ,14 ,101 ,5 ,56 ,22,32,4,173,14,32
3 ,0 ,285 ,79 ,13 ,2 ,44 ,8 ,13 ,4 ,250 ,11 ,24 ,0 ,74 ,11 ,59 ,7 ,102 ,17,16,0,265,57,18
2 ,0 ,178 ,44 ,24 ,12 ,27 ,1 ,8 ,0 ,107 ,6 ,19 ,0 ,36 ,9 ,61 ,5 ,55 ,7,9,1,111,26,22
1 ,0 ,146 ,24 ,6 ,1 ,16 ,1 ,1 ,3 ,122 ,10 ,7 ,2 ,17 ,2 ,44 ,3 ,46 ,5,11,4,155,49,7
2 ,1 ,322 ,88 ,20 ,4 ,27 ,4 ,1 ,1 ,171 ,12 ,21 ,2 ,66 ,9 ,182 ,13 ,114 ,15,27,6,304,51,21
25 ,11 ,1530 ,641 ,159 ,74 ,190 ,39 ,82 ,23 ,766 ,138 ,226 ,36 ,215 ,49 ,939 ,83 ,431 ,141,178,25,959,312,240
0 ,0 ,183 ,27 ,13 ,1 ,15 ,2 ,1 ,0 ,121 ,4 ,14 ,1 ,32 ,6 ,48 ,2 ,83 ,9,5,2,129,8,6
1 ,0 ,135 ,30 ,5 ,0 ,9 ,2 ,4 ,2 ,58 ,7 ,6 ,3 ,29 ,2 ,22 ,1 ,30 ,0,7,1,103,12,18
1 ,2 ,260 ,104 ,36 ,25 ,44 ,13 ,11 ,0 ,244 ,22 ,18 ,4 ,53 ,10 ,73 ,8 ,158 ,30,18,6,173,34,15
6 ,0 ,148 ,25 ,9 ,5 ,13 ,0 ,2 ,0 ,90 ,2 ,8 ,3 ,26 ,3 ,46 ,0 ,49 ,4,3,0,109,14,10
0 ,1 ,100 ,29 ,6 ,2 ,15 ,2 ,1 ,1 ,92 ,8 ,9 ,0 ,20 ,10 ,25 ,3 ,37 ,5,10,0,78,13,8
6 ,0 ,274 ,59 ,40 ,14 ,27 ,4 ,6 ,2 ,160 ,10 ,14 ,3 ,36 ,5 ,102 ,11 ,101 ,10,21,4,159,10,18
1 ,0 ,354 ,100 ,25 ,5 ,28 ,5 ,2 ,3 ,235 ,18 ,21 ,2 ,72 ,6 ,133 ,7 ,129 ,10,24,5,243,23,11
0 ,0 ,233 ,58 ,13 ,1 ,47 ,5 ,10 ,1 ,195 ,13 ,20 ,3 ,52 ,12 ,79 ,2 ,93 ,7,16,0,157,13,29
